,Symbol,Date,Expiry Date,Underlying,Strike Price,Straddle,Straddle %,Call IV,Put IV,R-VOL 7,R-VOL 20,R-VOL 100,Hist_RV,Edge,Year Corr.(NF),60 day Corr.(NF),Year Corr.(BNK),60 day Corr.(BNK),Edge 2,Hist Straddle
39,ONGC,2022-04-05,28-Apr-2022,168.0,167.5,11.75,6.9940476190476195,30.78,35.47,39.25,57.7,39.72,19.11,3.15,25.05,-7.23,,,0.7740476190476198,6.22
40,ICICIBANK,2022-04-05,26-May-2022,745.15,750.0,72.75,9.763134939273971,28.41,32.95,14.51,26.91,26.73,13.23,7.1,70.31,87.33,83.94,90.3,3.243134939273972,6.52
41,ICICIBANK,2022-04-05,28-Apr-2022,745.15,750.0,45.3,6.079312890022143,27.51,30.88,14.51,26.91,26.73,13.23,3.41,70.31,87.33,83.94,90.3,-0.44068710997785665,6.52
42,ICICIBANK,2022-04-05,30-Jun-2022,745.15,750.0,50.0,6.710058377507884,0,0,14.51,26.91,26.73,13.23,4.04,70.31,87.33,83.94,90.3,0.19005837750788412,6.52
43,IDFCFIRSTB,2022-04-05,26-May-2022,43.6,44.0,,,0,,46.34,39.46,40.67,18.86,,62.39,80.79,64.33,79.95,,6.4
44,IDFCFIRSTB,2022-04-05,28-Apr-2022,43.6,44.0,3.85,8.830275229357799,39.32,44.67,46.34,39.46,40.67,18.86,5.01,62.39,80.79,64.33,79.95,2.4302752293577985,6.4
45,IDFCFIRSTB,2022-04-05,30-Jun-2022,43.6,44.0,,,0,,46.34,39.46,40.67,18.86,,62.39,80.79,64.33,79.95,,6.4
46,MARUTI,2022-04-05,26-May-2022,7769.0,7800.0,913.95,11.764062298880166,26.97,26.47,21.09,35.62,36.58,15.41,8.68,50.06,73.79,,,6.514062298880166,5.25
47,MARUTI,2022-04-05,28-Apr-2022,7769.0,7800.0,523.95,6.744111211224096,30.72,34.44,21.09,35.62,36.58,15.41,3.66,50.06,73.79,,,1.4941112112240962,5.25
48,MARUTI,2022-04-05,30-Jun-2022,7769.0,7800.0,0.0,0.0,0,0,21.09,35.62,36.58,15.41,-3.09,50.06,73.79,,,-5.25,5.25
49,INDUSINDBK,2022-04-05,26-May-2022,988.55,990.0,77.7,7.8599969652521375,0,0,20.87,39.5,38.93,18.57,4.14,61.16,78.6,67.73,82.8,1.4199969652521371,6.44
50,INDUSINDBK,2022-04-05,28-Apr-2022,988.55,990.0,73.95,7.480653482373173,34.98,36.36,20.87,39.5,38.93,18.57,3.76,61.16,78.6,67.73,82.8,1.0406534823731723,6.44
51,LT,2022-04-05,26-May-2022,1824.0,1820.0,96.05,5.265899122807018,0,0,17.46,24.83,26.33,13.23,2.59,68.44,86.85,,,1.0458991228070182,4.22
52,LT,2022-04-05,28-Apr-2022,1824.0,1820.0,90.25,4.947916666666666,22.1,25.73,17.46,24.83,26.33,13.23,2.27,68.44,86.85,,,0.7279166666666663,4.22
53,INFY,2022-04-05,26-May-2022,1882.0,1880.0,101.1,5.371944739638682,0,31.51,10.14,23.95,24.53,11.21,3.11,54.91,66.75,,,0.7719447396386823,4.6
54,INFY,2022-04-05,28-Apr-2022,1882.0,1880.0,117.55,6.246014877789586,28.81,30.66,10.14,23.95,24.53,11.21,3.98,54.91,66.75,,,1.646014877789586,4.6
55,IOC,2022-04-05,26-May-2022,122.25,122.0,8.0,6.5439672801636,0,0,23.05,30.79,29.47,13.63,3.79,50.76,58.26,,,0.9139672801636003,5.63
56,IOC,2022-04-05,28-Apr-2022,122.25,122.0,7.65,6.257668711656442,28.92,30.13,23.05,30.79,29.47,13.63,3.5,50.76,58.26,,,0.6276687116564421,5.63
57,ITC,2022-04-05,26-May-2022,255.75,255.0,14.0,5.474095796676441,25.46,0,19.08,16.64,25.09,12.08,3.01,54.72,61.59,,,0.994095796676441,4.48
58,ITC,2022-04-05,28-Apr-2022,255.75,255.0,14.25,5.571847507331378,25.42,28.22,19.08,16.64,25.09,12.08,3.11,54.72,61.59,,,1.0918475073313774,4.48
59,HEROMOTOCO,2022-04-05,26-May-2022,2312.0,2320.0,0.0,0.0,0,0,52.5,40.5,32.45,13.3,-2.66,60.96,69.57,,,-3.9,3.9
60,HEROMOTOCO,2022-04-05,28-Apr-2022,2312.0,2320.0,160.05,6.92257785467128,32.93,33.91,52.5,40.5,32.45,13.3,4.26,60.96,69.57,,,3.02257785467128,3.9
61,SUNPHARMA,2022-04-05,26-May-2022,925.5,930.0,49.25,5.321447866018368,0,0,15.62,23.3,25.17,11.15,3.08,40.74,52.49,,,0.3614478660183682,4.96
62,SUNPHARMA,2022-04-05,28-Apr-2022,925.5,930.0,50.45,5.451107509454349,24.52,27,15.62,23.3,25.17,11.15,3.21,40.74,52.49,,,0.49110750945434933,4.96
63,DRREDDY,2022-04-05,26-May-2022,4314.0,4300.0,0.0,0.0,28.77,0,16.66,26.76,25.3,11.93,-2.44,25.14,49.85,,,-6.46,6.46
64,DRREDDY,2022-04-05,28-Apr-2022,4314.0,4300.0,251.1,5.82058414464534,26.58,29.61,16.66,26.76,25.3,11.93,3.38,25.14,49.85,,,-0.6394158553546596,6.46
65,BAJAJFINSV,2022-04-05,26-May-2022,17179.0,17250.0,0.0,0.0,0,0,21.11,33.71,35.13,17.83,-3.57,63.78,85.69,,,-7.88,7.88
66,BAJAJFINSV,2022-04-05,28-Apr-2022,17179.0,17250.0,1319.55,7.681180511089121,36.98,37.25,21.11,33.71,35.13,17.83,4.11,63.78,85.69,,,-0.1988194889108792,7.88
67,ADANIPORTS,2022-04-05,26-May-2022,818.0,820.0,59.45,7.267726161369194,41.04,0,24.41,27.67,34.09,18.16,3.63,58.72,86.27,,,2.4177261613691945,4.85
68,ADANIPORTS,2022-04-05,28-Apr-2022,818.0,820.0,72.2,8.82640586797066,41.86,42.61,24.41,27.67,34.09,18.16,5.19,58.72,86.27,,,3.9764058679706604,4.85
69,ADANIPORTS,2022-04-05,30-Jun-2022,818.0,820.0,,,0,,24.41,27.67,34.09,18.16,,58.72,86.27,,,,4.85
70,UPL,2022-04-05,26-May-2022,785.5,790.0,0.0,0.0,0,0,17.39,17.84,31.8,14.89,-2.99,46.63,51.51,,,-7.39,7.39
71,UPL,2022-04-05,28-Apr-2022,785.5,790.0,50.0,6.365372374283895,29.4,31.55,17.39,17.84,31.8,14.89,3.37,46.63,51.51,,,-1.0246276257161044,7.39
72,UPL,2022-04-05,30-Jun-2022,785.5,790.0,,,0,,17.39,17.84,31.8,14.89,,46.63,51.51,,,,7.39
73,ASIANPAINT,2022-04-05,26-May-2022,3116.0,3120.0,181.8,5.834403080872915,0,0,9.9,25.85,28.37,14.15,3.0,43.47,75.65,,,0.9944030808729147,4.84
74,ASIANPAINT,2022-04-05,28-Apr-2022,3116.0,3120.0,192.35,6.172978177150194,29.43,30.06,9.9,25.85,28.37,14.15,3.34,43.47,75.65,,,1.3329781771501938,4.84
